,seed,sampSize,dim,knn,title,data,FP,RAVK1,RAVK2,Proposed,trueInfo
0,0.0,100.0,1.0,7.0,Variables Mixed and Conditionally Independent,cindep,0.5071467063874688,-0.3544577190890766,-0.16952597702652955,0.002993590281171015,0.0
1,0.0,100.0,1.0,7.0,Variables Mixed and Dependent,corrUnif,1.0674053809626223,-0.7094206884856215,0.1344884080940716,0.25652510438857773,0.636514168294813
2,0.0,100.0,1.0,7.0,Observations Mixed and Dependent,mixture,1.5176920027837224,0.19336054664834415,0.44346850758893536,0.6066316527518081,0.7439391698723354
3,0.0,100.0,1.0,7.0,Discrete and Dependent,discDep,2.0698899386042084,-0.05191789849228126,0.22528164327676906,0.3193963982549857,0.19274475702175753
4,0.0,100.0,1.0,7.0,Continuous and Dependent,contDep,0.491412199649089,0.16847633107522866,0.16847633107522866,0.370043310096642,0.5108256237659908
5,0.0,100.0,1.0,7.0,Continuous and Independent,contIndep,0.12176983879984826,-0.12780763649843338,-0.12780763649843338,0.029245177047264592,0.0
6,0.0,100.0,1.0,7.0,Discrete and Independent,discIndep,1.334384966661961,-1.62557465878215,-0.042298849395243796,0.009033274966578917,0.0
7,0.0,100.0,1.0,7.0,Continuous and Conditionally Independent,contCondIndep,0.12032305844770354,-0.1467427991705017,-0.1467427991705017,0.019650461898546447,0.0
8,0.0,100.0,1.0,7.0,Discrete and Conditionally Independent,discCondIndep,1.5283272503644303,-0.7943976040607685,-0.11881855896482973,-0.011448491701398842,0.0
9,0.0,200.0,1.0,7.0,Variables Mixed and Conditionally Independent,cindep,0.5796726500032817,-0.4164942310673879,-0.14462718065862776,0.008013307592806147,0.0
10,0.0,200.0,1.0,7.0,Variables Mixed and Dependent,corrUnif,0.8537118215190431,-0.10036230769997764,0.2925570040153682,0.46278776879043987,0.636514168294813
11,0.0,200.0,1.0,7.0,Observations Mixed and Dependent,mixture,1.1999842017343916,0.3272057833172173,0.5743117560672311,0.7045078408386882,0.7439391698723354
12,0.0,200.0,1.0,7.0,Discrete and Dependent,discDep,2.0700303081536213,0.0797252925501904,0.20124551983116226,0.25779424465743583,0.19274475702175753
13,0.0,200.0,1.0,7.0,Continuous and Dependent,contDep,0.6433076823859848,0.3610938746813911,0.3610938746813911,0.5403506263812748,0.5108256237659908
14,0.0,200.0,1.0,7.0,Continuous and Independent,contIndep,0.07538471799313243,-0.12824678283436694,-0.12824678283436694,0.004031594505549753,0.0
15,0.0,200.0,1.0,7.0,Discrete and Independent,discIndep,1.870374635050387,-1.0021110712422747,-0.03628749924831258,0.021867418023000528,0.0
16,0.0,200.0,1.0,7.0,Continuous and Conditionally Independent,contCondIndep,0.1330138171350699,-0.09682803269800225,-0.09682803269800225,0.050209778318452025,0.0
17,0.0,200.0,1.0,7.0,Discrete and Conditionally Independent,discCondIndep,2.1775284854607624,-1.0098342180428945,-0.08504606488892782,-0.006429792305910846,0.0
18,0.0,300.0,1.0,7.0,Variables Mixed and Conditionally Independent,cindep,0.6851993418178359,-0.49362651077525527,-0.1435869512216911,-0.009613746788754853,0.0
19,0.0,300.0,1.0,7.0,Variables Mixed and Dependent,corrUnif,0.7995895298001969,0.1333674651746613,0.3621938312168884,0.5340085881383556,0.636514168294813
20,0.0,300.0,1.0,7.0,Observations Mixed and Dependent,mixture,1.3230021951705138,0.41483700989638844,0.610002650987243,0.7242800748987505,0.7439391698723354
21,0.0,300.0,1.0,7.0,Discrete and Dependent,discDep,2.41462105886302,0.10954916699721319,0.13465873945660636,0.180266923000647,0.19274475702175753
22,0.0,300.0,1.0,7.0,Continuous and Dependent,contDep,0.6166501632174641,0.36441711608112975,0.36441711608112975,0.5286430210216104,0.5108256237659908
23,0.0,300.0,1.0,7.0,Continuous and Independent,contIndep,0.03743004444418646,-0.13471105223612784,-0.13471105223612784,-0.021905515971875615,0.0
24,0.0,300.0,1.0,7.0,Discrete and Independent,discIndep,1.8434325034939176,-1.0050173320441966,-0.03906889558563766,0.008028343548476887,0.0
25,0.0,300.0,1.0,7.0,Continuous and Conditionally Independent,contCondIndep,0.07616852658042907,-0.12395560726408524,-0.12395560726408524,0.006448226310871635,0.0
26,0.0,300.0,1.0,7.0,Discrete and Conditionally Independent,discCondIndep,2.27585954267799,-1.0917404644731556,-0.07269935997798628,-0.007481246991731371,0.0
27,0.0,400.0,1.0,7.0,Variables Mixed and Conditionally Independent,cindep,0.6659206481403434,-0.5268797594023239,-0.12271338139670153,0.00815530102297448,0.0
28,0.0,400.0,1.0,7.0,Variables Mixed and Dependent,corrUnif,0.8062528634198773,0.2379824522394814,0.4032955899763672,0.5691129111607396,0.636514168294813
29,0.0,400.0,1.0,7.0,Observations Mixed and Dependent,mixture,1.3481303698581573,0.3772283197411219,0.5830667365869341,0.6753763828327878,0.7439391698723354
30,0.0,400.0,1.0,7.0,Discrete and Dependent,discDep,2.3910618618792863,0.08293018898016491,0.12019643931019361,0.1541048678463073,0.19274475702175753
31,0.0,400.0,1.0,7.0,Continuous and Dependent,contDep,0.5064759389943588,0.2795857681778939,0.2795857681778939,0.4271429439236529,0.5108256237659908
32,0.0,400.0,1.0,7.0,Continuous and Independent,contIndep,0.094931083545925,-0.0749211777505219,-0.0749211777505219,0.03676763163880896,0.0
33,0.0,400.0,1.0,7.0,Discrete and Independent,discIndep,2.0606932744698185,-0.7134627719087748,-0.04823483425419675,-0.0016160616616692858,0.0
34,0.0,400.0,1.0,7.0,Continuous and Conditionally Independent,contCondIndep,0.08262451439856652,-0.10132042798999188,-0.10132042798999188,0.018202461182200605,0.0
