,seed,sampSize,dim,knn,title,data,FP,RAVK1,RAVK2,Proposed,trueInfo
9,2.0,1000.0,1.0,7.0,income data,income,2.2363595615262053,-0.0573253029332293,0.007050785950415999,0.04430357553863378,
0,3.0,100.0,1.0,7.0,income data,income,0.6432437812196098,-0.46101710372289867,-0.06588646046866602,0.055860249573585874,
1,3.0,200.0,1.0,7.0,income data,income,0.8629086846301527,-0.5235555043516714,0.030606988474210346,0.1256438648727357,
2,3.0,300.0,1.0,7.0,income data,income,1.6539818357304876,-0.18685489635932878,0.03168886131450937,0.12528290892937496,
3,3.0,400.0,1.0,7.0,income data,income,1.7487924932933012,-0.10917476854871945,0.05240805160723209,0.13294938110878068,
4,3.0,500.0,1.0,7.0,income data,income,1.8742331351409087,-0.12420326111917927,0.03793396554958228,0.10386734856417999,
5,3.0,600.0,1.0,7.0,income data,income,1.9635401539488597,-0.08807135544433951,0.04325724573703692,0.1005287006502495,
6,3.0,700.0,1.0,7.0,income data,income,2.085871850353588,-0.07057419134760498,0.030651841384542664,0.08160190828301774,
7,3.0,800.0,1.0,7.0,income data,income,2.151569725614755,-0.04499754776792802,0.04450637371346106,0.09000747660121906,
8,3.0,900.0,1.0,7.0,income data,income,2.171008331859643,-0.04096584194505212,0.04369311975412022,0.08440116927523479,
9,3.0,1000.0,1.0,7.0,income data,income,2.177308925075156,-0.051381663023981596,0.035415003236968515,0.0722359012081093,
0,4.0,100.0,1.0,7.0,income data,income,0.9889219104979405,-0.5920849010682535,-0.05933951600593201,0.052538264047563024,
1,4.0,200.0,1.0,7.0,income data,income,1.006954851005994,-0.32229200612000625,-0.027484142972393356,0.07743901300659844,
2,4.0,300.0,1.0,7.0,income data,income,1.422254534324206,-0.33189823256097917,-0.02674839209417487,0.05519769925089288,
3,4.0,400.0,1.0,7.0,income data,income,1.7794401000374487,-0.21884744496842734,-0.04460769069961661,0.0320451540263821,
4,4.0,500.0,1.0,7.0,income data,income,1.8221325462338913,-0.22055668489199098,-0.0342810290004608,0.02749683004610578,
5,4.0,600.0,1.0,7.0,income data,income,1.9829397939007318,-0.17026700914710113,-0.023397541160333903,0.030902712684885442,
